image,caption
"Defense Day parade, (9-12-24) LOC npcc.12208 (798cb52b).jpg","The image is a black and white photograph of a parade on a street in a city. The street is lined with tall buildings on both sides and there is a large crowd of people on the left side of the street. The buildings appear to be old and have ornate architectural details. In the background, there are several tall buildings with a clock tower and a flag on top. The sky is overcast and the overall mood of the image is somber. The photograph appears to be from the early 20th century."
"Stack of clothing, primarily prison uniforms, in an unidentified German concentration camp LCCN90709928 (0c41acfe).jpg","The image is a black and white photograph of a room with a large pile of clothes hanging on the wall. The clothes appear to be old and ruffled, with some of them overlapping each other. The room has a brick wall on the left side and a door on the right side. The floor is covered in dirt and debris, and there is a light fixture hanging from the ceiling. The photograph appears to be taken from a low angle, looking up at the clothes."
"Jamil M. Taylor, Ark. LOC npcc.03356 (de301cfa).jpg","The image is a black and white portrait of an elderly man sitting in a chair. He is wearing a suit and tie and has a serious expression on his face. He has a pair of glasses on and is looking directly at the camera. The background is blurred, but it appears to be a room with a window and curtains. The man is sitting with his legs crossed and his hands resting on his lap. The photograph is in a vintage style, with a simple and minimalistic design."
Unidentified uniformed men participating in ceremony LOC npcc.08475 (5fd4763e).jpg,"The image is a black and white photograph of two men in military uniforms standing in a line. They are facing each other and appear to be engaged in a conversation. The man on the left is holding a flagpole with a flag flying in the background. The other man is standing next to him with his hands clasped in front of him. Both men are wearing caps and jackets, and they are standing on a grassy field with trees in the distance. The photograph appears to be from the early 20th century."
First National Bank of So. Md. Marlborough LCCN2016826472 (ccde2170).jpg,"The image is a black and white photograph of a two-story brick building. The building appears to be a bank or a financial institution, as there is a sign above the entrance that reads ""Bank of America."" The building has a flat roof and large arched windows on the front facade. There is a small porch on the right side of the building with a door and a small window above it. The ground floor is covered in grass and there are trees in the background. The photograph is taken from a low angle, looking up at the building from the street."
"Penna. Ave., LOC npcc.08701 (7898fc91).jpg","The image is a black and white photograph of a busy street in a city. The street is lined with buildings on both sides and there are several cars parked on the right side of the street. On the left side, there is a building with awnings and a few people walking on the sidewalk. In the background, there are tall buildings and a clock tower. The sky is overcast and the overall mood of the image is somber. The photograph appears to be from the early 20th century."
"W.B. Moses & Sons Co., (Washington, D.C.), automobiles LCCN2016824225 (ffc1c728).jpg","The image is a black and white photograph of a street scene in a city. The street is lined with tall buildings on both sides, with a row of cars parked on the left side of the road. The cars appear to be vintage, with some having a flatbed trailer attached to the back. There are several people standing on the sidewalk, and a few people walking on the sidewalks. The buildings in the background are tall and have multiple floors and balconies. The sky is overcast, and there are trees and other buildings visible in the distance. The photograph appears to be from the early 20th century."
"Frank Morrison, Robt. La Follette and Wm. Greene at station, 6-19-25 LCCN2016840115 (8829a9ca).jpg","The image is a black and white photograph of three men standing in front of a train. The men are dressed in formal attire, with the man on the left wearing a suit and tie, the man in the middle wearing a tuxedo and holding a hat, and the other two men on the right wearing suits and ties. They are all looking at the camera and appear to be posing for the photo. In the background, there are other men standing near the train, and a train car can be seen in the distance. The photograph appears to be from the early 20th century."
Sale of surplus army food. Park View LCCN2016826642 (07d1b0e2).jpg,"The image is a black and white photograph of a group of people in a room with brick walls. There are several people in the room, some standing and some sitting, and a woman in a long white dress is standing in the center of the room. She is holding a tray of food and appears to be serving it to a man who is standing next to her. On the left side of the image, there is a table with several jars and containers on it, and on the right side, there are several wooden crates and barrels stacked on top of each other. The people are dressed in formal attire, with some wearing hats and others wearing dresses. The room has a large window in the background, and there are pipes running along the ceiling."
"Baby Peggy with Frances & Gene Quirk of N.Y. at W.H. (i.e., White House, Washington, D.C.), 2-2-25 LCCN2016850023 (cea68b62).jpg","The image is a black and white photograph of three young girls standing in a park. They are all wearing coats and hats, and the girls are smiling at the camera. The background shows a grassy area with trees and bushes. The sky is overcast and the ground is wet, suggesting that it has recently rained. The photograph appears to be from the early 20th century."
Sen. F.S. White of Ala. LCCN2016821312 (5c147dc6).jpg,"The image is a black and white photograph of a man sitting at a desk in an office. The man is wearing a suit and tie and appears to be in his late 60s or early 70s. He has a serious expression on his face and is looking directly at the camera. The desk is cluttered with papers, books, and other office supplies. There is a bookshelf in the background and a window with curtains on the right side of the image. The photograph appears to have been taken in the early 20th century."
"Henno Sales Co., Auburn LCCN2016852127 (b34f881d).jpg","The image is a black and white photograph of a vintage car parked on the side of a street. The car appears to be a two-seater model with a curved roof and a large front grille. It has a long, narrow body with a sloping roofline and a curved front bumper. The front of the car has a large, ornate grille with a decorative design. The wheels are large and have a polished finish. There are trees and buildings in the background, and another car can be seen in the distance. The photograph is taken from a low angle, looking up at the car."
U.S. Army cantonement LCCN2016826252 (2548f959).jpg,"The image is a black and white photograph of a group of men working in a large room with wooden beams and walls. The room appears to be a workshop or a factory, as there are several tables and benches scattered throughout the space. The men are sitting at a long table with papers and other materials spread out in front of them. They are all wearing hats and appear to be engaged in their work. On the right side of the image, there is a man standing and observing the men. In the background, there are shelves with various tools and equipment. The overall atmosphere of the room is busy and industrious."
"Stephen S. Porter, 10-18-23 LOC npcc.09709 (12c50460).jpg","The image is a black and white photograph of a man standing on the steps of a building. He is wearing a suit and a hat, and is holding a cane in his left hand. He has a serious expression on his face and is looking directly at the camera. Behind him, there is another man in a suit, who appears to be a police officer. The building behind him has columns and a door, and there is a window on the right side of the image. The photograph appears to have been taken in the early 20th century."
"Federal Oil Conservation Board, 1-19-25 LCCN2016850039 (1731f403).jpg","The image is a black and white photograph of a group of six men sitting around a large wooden table in a formal meeting room. The room has a high ceiling with a chandelier hanging from it and ornate decorations on the walls. The men are all wearing suits and appear to be in their late twenties or early thirties. They are all looking at the camera and seem to be engaged in a serious conversation. On the table, there are papers and other documents scattered across it. In the background, there is a framed portrait hanging on the wall. The overall mood of the image is serious and professional."
Miss Laura Harlan LOC npcc.04321 (a39235f8).jpg,"The image is a black and white portrait of a woman. She is wearing a large hat with a feather on top and a jacket with a floral pattern. The woman is looking directly at the camera with a serious expression on her face. The background is blurred, but it appears to be a park or garden with trees and greenery. The image is framed with a white border."
"George Lockwood, 8-25-23 LCCN2016847876 (15b9a428).jpg",The image is a black and white photograph of a man standing in front of a building. The man is wearing a suit and tie and is standing with his hands in his pockets. He has a serious expression on his face and is looking directly at the camera. The building behind him has columns and there are a few people walking on the sidewalk. The photograph appears to be from the early 20th century.
Unidentified LCCN2016820235 (bc565644).jpg,"The image is a black and white photograph of a group of men standing on the steps of a building. The man in the center is wearing a long coat and a top hat, and is standing with his hands in his pockets. He appears to be in his late twenties or early thirties. Behind him, there are six other men in suits and hats, all of whom are standing in a line. They are all looking towards the camera. The building behind them has columns and arches, and there is a street lamp on the right side of the image. The photograph appears to have been taken in the early 20th century."
"Consecration of Bishop Freeman, (9-30-23) LCCN2016847984 (1ba11dfb).jpg","The image is a black and white photograph of a large crowd of people gathered in a park. The crowd appears to be of people of all ages and genders, and they are all wearing hats and dresses. In the background, there is a large building with a pointed roof and multiple levels. The building is surrounded by trees and there are cranes visible in the distance. The sky is overcast and the overall mood of the image is somber. The photograph appears to have been taken from a high vantage point, looking down on the crowd."
"Wm. S. Vare, Pa. LCCN2016845146 (3c68213c).jpg","The image is a black and white portrait of a man sitting in a chair. He is wearing a suit and tie and appears to be in his late twenties or early thirties. He has short, neatly combed hair and is looking directly at the camera with a serious expression on his face. The background is blurred, but it seems to be a room with a bookshelf and a window. The man is sitting with his legs crossed and his hands resting on his lap. The image is framed by a thin black border."
"Senor Carlos Aldunate, 5-15-22 LCCN2016846362 (49d121f0).jpg","The image is a black and white photograph of three people standing on a set of stairs. The person in the center is an elderly man wearing a suit and a top hat, with a cane in his hand. He is standing between two young women, one on either side of him. All three are wearing hats and dresses, with the woman on the left wearing a long dress and the man on the right wearing a hat with a wide brim. They are all smiling and appear to be posing for the photo. The background shows a building with columns and arches. The image appears to be from the early 20th century."
"U.S. Army horse stunts, B Troop, 15th U.S. Cavalry, Frostburg, Md., 1909 LCCN2016851173 (ff3bee9f).jpg","The image is a black and white photograph of a man kneeling down next to a large horse in a field. The man is wearing a hat and a jacket, and is holding the reins of the horse with both hands. The horse is lying on its side with its front legs stretched out and its head resting on the ground. In the background, there are houses and a fence, and the sky is overcast. The photograph appears to be from the early 20th century."
Mrs. Chas. Cassilly Adams LOC npcc.08708 (c5322024).jpg,"The image is a black and white photograph of a woman and her dog. The woman is standing on the hood of a car, with the dog sitting on her lap. The dog is wearing a top hat and a harness, and is looking directly at the camera. The background shows a building with columns and a tree. The photograph appears to be from the early 20th century."
Mary B. Lidy LCCN2016822663 (8a06cfad).jpg,"The image is a black and white photograph of a woman sitting at a desk. She is wearing a blouse and a skirt, and her hair is styled in curly curls. The woman is looking directly at the camera with a serious expression on her face. On the desk in front of her, there are various items such as papers, books, and other office supplies. The background is blurred, but it appears to be a room with a window and a painting hanging on the wall. The photograph is framed with a thin black border."
Children LCCN2016824711 (97eb5dac).jpg,"The image is a black and white photograph of a group of children and a man standing in front of a building. The children are of different ages and ethnicities, and they are all wearing hats and coats. The man is wearing a suit and a hat, and he is standing in the center of the group. He is smiling and looking at the camera. Behind him, there are several other children, some of whom are standing and some are sitting on the ground. The building behind them has a corrugated metal shutter. The photograph appears to be from the early 20th century."
"Rep. B.C. Reece, Rep. team, 4-26-26 LCCN2016842008 (7c1f84bd).jpg","The image is a black and white photograph of a young man playing baseball. He is standing on a dirt field with trees and a building in the background. The man is wearing a white shirt, a tie, and a skirt, and is holding a baseball bat in his right hand. He appears to be in the middle of throwing the ball, with his left leg extended forward and his right leg bent at the knee. There is a pair of shoes on the ground next to him. The photograph is framed by a black border."
Slave story LCCN2016828481 (10cc6eb6).jpg,"The image is a black and white photograph of a group of four men sitting under a covered porch. The porch is located in a rural area with a brick building in the background. The men are dressed in traditional clothing, with one man wearing a hat and apron, another wearing a long coat and a hat, and the third wearing a cap and a long dress. They are sitting on a wooden bench and appear to be engaged in a conversation.

There are two large buckets on either side of the porch, one on the left side and one in the center. The man on the right side is holding a basket and appears to be working on a piece of wood. There is a wooden crate and a bucket on the ground next to the bench. The ground is covered in grass and there are trees and a fence in the distance. The sky is overcast and the overall mood of the image is somber."
"Jas. W. Good at Fort Myer, 3-8-29 LCCN2016843433 (e57dcf81).jpg","The image is a black and white photograph of a group of men standing in a line in front of a brick building. The men are dressed in formal attire, with some wearing hats and coats, while others are wearing military uniforms. They are all facing the same direction and appear to be walking side by side. The building in the background is a two-story structure with a sloping roof and a chimney. The sky is overcast and there are trees in the distance. The photograph appears to be from the early 20th century."
"Roosevelt decorating Boy Scouts, 12-8-23 LCCN2016848401 (93fdb9dd).jpg","The image is a black and white photograph of a group of men standing on a street, holding American flags. The men are dressed in military uniforms and hats, and some are holding bouquets of flowers. In the center of the image, there is a man in a suit and hat, who appears to be a member of the United States Army. He is holding a large American flag and is standing in front of a line of other men, who are also holding flags. Behind them, there are several other American flags, and a building can be seen in the background. The photograph appears to have been taken in the early 20th century."
President Coolidge & Cabinet LCCN2016850610 (e6b8c2cc).jpg,"The image is a black and white photograph of a group of men posing for a group photo in front of a large white building. The building appears to be a government building with multiple levels and arched windows. The men are dressed in formal attire, with some wearing suits and others wearing ties. They are arranged in a semi-circle, facing the camera. The group is sitting on a grassy lawn, with trees and bushes in the background. The sky is overcast and the overall mood of the image is somber."
"Zink (i.e., zinc?) mine LCCN2016821900 (b1a6c94a).jpg","The image is a black and white photograph of a group of men working in a cave. The cave appears to be underground, as there are rocks and stalactites visible in the background. The men are wearing hard hats and overalls, and one of them is standing on the left side of the image, while the others are on the right side.

In the center of the cave, there is a large metal tank, which is likely being used for mining or processing. There are several pipes and other equipment scattered around the cave. One of the men is sitting on a bench, and another is standing next to it, working on a machine. The other two men are standing on either side of him, and there are several other machines and equipment in the foreground. The image appears to have been taken in the early 20th century."
Girl Scouts LCCN2016828942 (2023dd1b).jpg,"The image is a black and white photograph of two women sitting on a grassy field. The woman on the left is wearing a hat and a jacket, while the woman in the middle is sitting on the ground with her legs crossed. They are both wearing hats and appear to be engaged in a conversation.

The woman on top is holding a small object in her hands, which appears to be a piece of paper or fabric, and is looking at it intently. The other woman is sitting next to her, looking at the object with a concerned expression on her face. The background is blurred, but it seems to be an outdoor setting with trees and bushes. The photograph appears to have been taken in the early 20th century."
"Wilson Inauguration, (Washington, D.C.), 1917 LCCN2016851240 (eaf375b1).jpg","The image is a black and white photograph of a large crowd of people gathered in front of the White House. The crowd appears to be a large number of people, with many people standing on the balcony of the building. The building itself is a two-story structure with columns and a dome on top. The sky is visible in the background, and there are several American flags hanging from the columns. The people in the crowd are dressed in formal attire, and some are holding signs or banners. The image appears to have been taken from a high vantage point, looking down on the crowd."
"Robinson welcomed by Sec. of Navy and Navy Chiefs, 11-17-24 LCCN2016838914 (92736c5b).jpg","The image is a black and white photograph of a group of men standing in a room. The men are all dressed in formal attire, with some wearing suits and others wearing ties. They are all facing the camera and appear to be posing for the photo. The room has a high ceiling with a chandelier hanging from it, and there are several framed pictures hanging on the walls. The floor is covered with a patterned rug. The overall mood of the image is serious and professional."
"Porto (i.e., Puerto) Rico, West Indies, 4 Central Machete, Guayama, P.R. LCCN2016824456 (4418170f).jpg","The image is a black and white photograph of a group of men working on a construction site. The site appears to be a large building with a sloping roof and a chimney on the right side. The building is made of wood and has multiple windows. There are several workers standing on the ground in front of the building, some of them are wearing hard hats and uniforms. On the left side of the image, there is a pile of rubble and debris, including a large pile of wood shavings and a wooden structure. The sky is overcast and there are trees in the background. The photograph is taken from a low angle, looking up at the workers and the building."
Zahulser LOC npcc.11709 (1cad6ad8).jpg,"The image is a black and white portrait of a man. He is wearing a baseball cap with the letter ""W"" on it and a white collared shirt. He has short, dark hair and is looking directly at the camera with a slight smile on his face. The background is plain and dark, making the man the focal point of the image."
Herbert E. French in Ford stopped by traffic cop LCCN2016822940 (8e5b59e1).jpg,"The image is a black and white photograph of a man standing next to a vintage car on a street. The car appears to be a two-seater model with a large front grille and a curved roof. The man is wearing a suit and a hat, and he is gesturing with his right hand as if he is explaining something. Behind the car, there are two other men sitting in the driver's seat. The street is lined with buildings and there are a few people walking on the sidewalk. The photograph appears to have been taken in the early 20th century."
"Red Cross swimming meet, Y.M.C.A. LCCN2016823640 (85fb7fcb).jpg","The image is a black and white photograph of a large indoor swimming pool. The pool is rectangular in shape and appears to be made of concrete. There are several people in the pool, some are swimming and some are standing on the edge of the pool. On the left side of the image, there is a group of people sitting on the floor, watching the people in swimming. They are all dressed in formal attire, with some wearing hats and others wearing suits. The people are standing in a line, facing the pool and appear to be engaged in a conversation. The background shows a wall with pipes and a window. The image appears to have been taken in a large room with a high ceiling and large windows."
"Gen. J.L. Hines, McNider, Grew, Pershing, Kellog, 2-11-26 LCCN2016841779 (45edcaed).jpg","The image is a black and white photograph of a group of men standing in front of a building. The men are dressed in formal attire, with some wearing hats and coats. They are standing in a line, facing the camera, and appear to be engaged in conversation. The building behind them has columns and a large window, and there is snow on the ground. The photograph appears to be from the early 20th century."
"Poppy wreath by Mothers of World War, Mother's Day at Arlington, 5-10-25 LCCN2016839979 (64e386ff).jpg","The image is a black and white photograph of a large wreath being laid on the steps of a building. The wreath is made of large black flowers and is tied with a white ribbon. A woman is standing next to the wreath, holding it up with both hands. She is wearing a long coat and a hat, and appears to be placing it on a pedestal. In the background, there is a large crowd of people, some of whom are standing and some are sitting, watching the ceremony. The building behind them has columns and arches, and there are several flags flying in the background. The image appears to have been taken in the early 20th century."
Katherine Mullen Krazy Kat Klub Crop (a3a1dfd2).jpg,"The image is a black and white portrait of a woman. She appears to be in her late twenties or early thirties. She has short, dark hair that is pulled back in a bun. She is wearing a headscarf that covers her head and shoulders. The woman is looking off to the side with a serious expression on her face. The background is blurred, so the focus is on the woman's face."
"Shriners meet Mayor Kendrick at station, 5-2-25 LCCN2016839718 (c837593f).jpg","The image is a black and white photograph of a group of men standing on a sidewalk in front of a building. The men are all dressed in formal attire, with some wearing hats and others wearing coats. They are all smiling and appear to be posing for the photo. The building behind them has columns and a large window. The photograph appears to be from the early 20th century."
"Lejeune at Annapolis, 6-2-21 LOC npcc.04295 (0787f48f).jpg","The image is a black and white photograph of a group of men and women in formal attire walking on a sidewalk. The men are wearing suits and hats, while the women are wearing dresses and hats. They appear to be walking in a line, with some of them holding cameras. In the background, there are trees and a car parked on the side of the road. The photograph appears to be from the early 20th century."
"Mades Hotel, 3rd St. N.W., Wash., D.C. LCCN2016823177 (aa4659ee).jpg","The image is a black and white photograph of a two-story building on a street corner. The building appears to be a hotel or a restaurant, as there is a sign on the front of the building that reads ""Hotel."" The building has multiple windows and a fire escape on the second floor. There is a street lamp on the right side of the image and a tree on the left side. The photograph is taken from a low angle, looking up at the building. The sky is overcast and the overall mood of the photograph is somber."
Jn. W. Weeks LOC npcc.03336 (67fb00e4).jpg,"The image is a black and white portrait of a middle-aged man with a mustache. He is wearing a suit and tie and appears to be in his late 60s or early 70s. He has a serious expression on his face and is looking directly at the camera. The background is blurred, but it seems to be a room with a bookshelf and a window. The image is framed with a thin black border."
"Baby carriage, 11-3-21 LCCN2016852446 (0c9a7866).jpg","The image is a black and white photograph of an old-fashioned baby carriage on a sidewalk. The carriage is made of wood and has four large wheels with spokes on each side. It is empty and appears to be in good condition. The background shows a row of brick buildings on the left side of the image, with a few trees on the right side. The sky is overcast and the ground is wet, suggesting that it has recently rained. The photograph is taken from a low angle, looking down the sidewalk towards the carriage."
"Swiss booth, Fete Champetre, 5-21-22 LOC npcc.06221 (f570b661).jpg","The image is a black and white photograph of a group of nine women standing under a tent in a garden. They are all dressed in traditional Bavarian clothing, with long skirts and hats. The women are standing in a line, facing the camera and smiling at the camera. Behind them, there is a large tree and a building with large windows. The tent is set up on a grassy lawn, and there are plants and flowers hanging from the roof. The overall mood of the image is cheerful and festive."
"Fred H. Dominick, S.C. LCCN2016827447 (50aa13ef).jpg","The image is a black and white portrait of a man sitting in a room with bookshelves in the background. The man is wearing a suit and tie and has a serious expression on his face. He is wearing glasses and appears to be in his late twenties or early thirties. The photograph is taken from a low angle, looking directly at the camera. The overall mood of the image is serious and professional."
"Batty (i.e., Battery) B, 16th Field Artillery, 4-1-27 LCCN2016842965 (69e44c5f).jpg","The image is a black and white photograph of a group of six men in military uniforms standing in front of a brick building. The men are standing in a line, facing the camera and posing for the photo. They are all wearing matching uniforms with gold buttons and badges on their chests. The uniforms have a peaked cap with a feather on top. The building behind them has two large windows and a balcony with a railing. The ground is covered in grass and there are bushes in the background. The photograph appears to be from the early 20th century."
Jos. A. Ralph LCCN2016821094 (e685e80d).jpg,"The image is a black and white portrait of a man. He appears to be in his late 40s or early 50s, with a bald head and a serious expression on his face. He is wearing a suit and tie, and his hair is neatly combed back. The portrait is framed in a simple, rectangular frame with a white border. The background is plain and the focus is on the man's face."
"James S. Inc., Candlers, 5-6-23 LOC npcc.07565 (9b2787cd).jpg","The image is a black and white photograph of a vintage car parade. The car is a white convertible with a large front grille and a curved roof. It is driving down a street lined with trees and a crowd of people. On the left side of the image, there is a man in a suit and hat walking towards the car. He is holding a cane and appears to be leading the parade. On top of the car, there are two men in suits and hats, one of whom is standing on the roof and the other is sitting in the driver's seat. They are both smiling and appear to be enjoying the ride.

In the background, we can see a large crowd of spectators and a tent-like structure. The sky is overcast and the overall mood of the photograph is celebratory."
"Count Laszlo Szechenyi, 2-23-22 LOC npcc.05833 (75e2ff33).jpg","The image is a black and white photograph of two men walking on a sidewalk. They are both wearing suits and hats, and one of them is holding a cane. The sidewalk is lined with trees on both sides, and there is a building in the background. The sky is overcast and the overall mood of the image is somber."
"Senate pages in snow ball battle at Capitol, Washington, D.C. LCCN2012647122 (b0c9ac48).jpg","The image is a black and white photograph of a group of people playing in the snow in front of the United States Capitol building. The building is a large, ornate structure with a dome-shaped dome on top and columns on either side. The sky is overcast and the ground is covered in a thick layer of snow. The people in the photograph appear to be of different ages and ethnicities, and they are all wearing winter clothes and hats. Some of them are holding shovels or shovels, while others are throwing snowballs at each other. There are trees in the background and a few cars parked on the street. The photograph appears to be from the early 20th century."
Driving? LCCN2016825638 (a07d2d23).jpg,"The image is a black and white photograph of a large, two-story building with a flat roof. The building appears to be made of stone or brick and has multiple windows on the ground floor. The front of the building has a large arched window on the second floor, and there are several smaller windows on each floor. On the right side of the image, there is another building visible in the background. The sky is overcast and the photo is taken from a low angle, looking up at the building. There are power lines running across the street in the foreground."
"Immigrants in English class given by Training Service of the Department of Labor in Ford Motor Co. Factory, Detroit, Michigan LCCN90707449 (895b98aa).jpg","The image is a black and white photograph of a large group of men standing in a large room with a high ceiling and a sign that reads ""A3 30"". The men are all dressed in formal attire, with some wearing suits and others wearing ties. They are all looking directly at the camera and appear to be posing for the photo. The room appears to be a conference or meeting room, as there are rows of desks and chairs visible in the background. The photograph is taken from a high angle, looking down on the group."
"Herald tour, Balls Bluff (...) LCCN2016828983 (c3a7c106).jpg","The image is a black and white photograph of a man standing next to a vintage car on a dirt road. The car appears to be a 1930s model, with a large front grille and a curved roof. The man is wearing a suit and a hat, and is holding the steering wheel with both hands. He is standing on the right side of the road, with trees and bushes on either side. The sky is visible in the background, and the overall mood of the image is somber."
Minnesota League of Women Voters LCCN2016848411 (54f58abb).jpg,"The image is a black and white photograph of a group of women standing on a sidewalk on a city street. They are all dressed in formal attire, with some wearing hats and others wearing coats. The women are holding large baskets or baskets of various sizes and colors, and one of them is holding a large white ribbon. There are a few people standing on the right side of the image, one of whom is holding up a piece of paper. In the background, there are buildings and cars parked on the street. The photograph appears to be from the early 20th century."
Mrs. Franklin D. Roosevelt (front) LCCN2016848845 (89c15b8b).jpg,"The image is a black and white photograph of three women walking on a sidewalk. The women are dressed in formal attire, with hats and dresses, and appear to be in their twenties or thirties. They are walking side by side, with one woman in the front and two in the back. The woman on the left is wearing a long coat with a fur collar and a hat with a feather, while the woman on on the right is carrying a bag. In the background, there is a building with a large window and a tree. There are also a few cars parked on the street. The photograph appears to be from the early 20th century."
Shoreham Hotel layout LCCN2016841406 (b5c41374).jpg,"The image is a black and white photograph of a group of baseball players from the Shoreham Hotel in H Street Northwest at Fifteenth. The photograph is framed in a black frame and is titled ""One of the Capital's Finest"". The photograph shows the team posing for a group photo in front of a large crowd of spectators in a stadium. The team is wearing white uniforms and hats, and they are all smiling and looking at the camera.

The photograph is divided into three sections, each showing a different angle of the team. The top section shows the players standing in the stands, with the crowd in the background. The bottom section shows a large building with a sign that reads ""Shoreham Hotel"" and ""H Street Northwest"" above it. The building appears to be a hotel, as indicated by the text below the photograph. The image is likely from the early 20th century."
"...)eny, Chi(cago), 1924 LOC npcc.11553 (75dfdccb).jpg","The image is a black and white photograph of a young man wearing a baseball cap and a jersey. He is standing in front of a building with a window and a door visible in the background. The man is looking directly at the camera with a serious expression on his face. He appears to be in his late twenties or early thirties. The photograph is taken from a low angle, so the focus is on the man's face."
"Bro. F.C. Schroen, 4-21-22 LOC npcc.06138 (78a03a99).jpg","The image is a black and white photograph of an elderly man standing in front of a brick wall. He is wearing a long-sleeved shirt, trousers, and shoes, and is holding a paintbrush in his right hand. The man appears to be in his late 60s or early 70s, with a bald head and a serious expression on his face. The wall behind him is made of concrete and has a rough texture. The photograph is taken from a low angle, looking up at the man with a slight smile on his lips."
"Cooledge & Bucky Harris, 10-4-24 LOC npcc.12320 (e9db61fa).jpg","The image is a black and white photograph of a crowd of people gathered around a large American flag. The flag is being held up by two men, one on top of the other, who are shaking hands. The man on top is wearing a suit and a hat, and the other man is holding a baseball bat. The crowd is made up of people of different ages and ethnicities, some of whom are wearing hats and suits. The background appears to be a large building with columns and arches. The image appears to have been taken at a baseball game, as there are spectators visible in the background."
